val,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13
0.924871488532328,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
0.924871488532328,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
0.924871488532328,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
1.7581289404188138,1.0,1.0,1.0,1.0,-8.521876799680332,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.321710838655432,1.0,1.0,1.0,1.0,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
2.6395861853202462,1.0,1.0,1.0,4.788838835370134,-8.521876799680332,8.009082433595129,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0
